1;Mi fai impazzire;Blanco & Sfera Ebbasta;Hip-hop/Rap;2021
2;Malibù;Sangiovanni;Hip-hop/Rap;2021
3;Mille;Fedez & Achille Lauro & Orietta Berti;Pop;2021
4;La canzone nostra;Mace & Blanco & Salmo;Hip-hop/Rap;2021
5;Musica leggerissima;Colapesce & Dimartino;Pop;2021
6;Zitti e buoni;Maneskin;rock alternativo;2021
7;Stay;The Kid Laroi & Justin Bieber;Pop;2021
8;Notti in bianco;Blanco;Hip-hop/Rap;2021
9;Cold heart [pnau remix];Elton John & Dua Lipa;Pop;2021
10;Bad habits;Ed Sheeran;Pop;2021
11;Un bacio all'improvviso;Rocco Hunt & Ana Mena;Reggaeton;2021
12;Lady;Sangiovanni;Hip-hop/Rap;2021
13;Ma stasera;Marco Mengoni;Pop;2021
14;Pepas;Farruko;Reggaeton;2021
15;Ti raggiungerò;Fred De Palma;Pop;2021
16;Pastello bianco;Pinguini Tattici Nucleari;Alternativa/indie;2021
17;Movimento lento;Annalisa feat. Federico Rossi;Pop;2021
18;Nuovo range;Rkomi & Sfera Ebbasta & Junior K;Hip-hop/Rap;2021
19;Friday [dopamine re;edit];Riton & Nightcrawlers feat. Mufasa & Hypeman;Pop;2021
20;Makumba;Noemi & Carl Brave;Pop;2021
21;Tu mi hai capito;Madame & Sfera Ebbasta;Pop;2021
22;Venere e Marte;Takagi e Ketra & Marco Mengoni & Frah Quintale;Pop;2021
23;Never going home;Kungs;Pop;2021
24;Scrivile scemo;Pinguini Tattici Nucleari;Alternativa/indie;2021
25;Marea;Madame;Pop;2021
26;Save your tears;The Weeknd;Pop;2021
27;Voce;Madame;Pop;2021
28;La genesi del tuo colore;Irama;Pop;2021
29;I wanna be your slave;Maneskin;rock alternativo;2021
30;Partire da te;Rkomi;Hip-hop/Rap;2021
31;Easy on me;Adele;Pop;2021
32;Ferma a guardare;Ernia feat. Pinguini Tattici Nucleari;Alternativa/indie;2021
33;Kumite;Salmo;Rap;2021
34;Loca;Aka 7even;Pop;2021
35;Mohicani;BoomDaBash & Baby K;Pop;2021
36;Luna piena;Rkomi & Irama & Shablo;Hip-hop/Rap;2021
37;Chiamami per nome;Francesca Michielin & Fedez;Pop;2021
38;Una canzone d'amore buttata via;Vasco Rossi;Alternativa/indie;2021
39;Paraocchi;Blanco;Hip-hop/Rap;2021
40;Blu celeste;Blanco;Hip-hop/Rap;2021
41;Iko iko;Justin Wellington feat. Small Jam;Reggaeton;2021
42;Your love (9 PM);ATB & Topic & A7S;Pop;2021
43;My universe;Coldplay & BTS;Alternativa/indie;2021
44;Pistolero;Elettra Lamborghini;Latin Urbano;2021
45;Scooby Doo;Pinguini Tattici Nucleari;Alternativa/indie;2021
46;Un altro ballo;Fred De Palma feat. Anitta;Pop;2021
47;Fireworks;Purple Disco Machine feat. Moss Kena & Knocks;Pop;2021
48;Shivers;Ed Sheeran;Pop;2021
49;Peaches;Justin Bieber feat. Daniel Caesar & Giveon;Pop;2021
50;Baby;Sfera Ebbasta & J Balvin;Pop;2021
51;Vertigine;Elodie;Pop;2021
52;Don't go yet;Camila Cabello;Pop;2021
